Timestamp,Active_Demand_kVA,Contracted_Limit
2026-04-01 00:00:00,626.88,900
2026-04-01 00:30:00,641.6,900
2026-04-01 01:00:00,608.92,900
2026-04-01 01:30:00,612.58,900
2026-04-01 02:00:00,549.99,900
2026-04-01 02:30:00,565.05,900
2026-04-01 03:00:00,502.69,900
2026-04-01 03:30:00,467.58,900
2026-04-01 04:00:00,424.99,900
2026-04-01 04:30:00,432.98,900
2026-04-01 05:00:00,365.2,900
2026-04-01 05:30:00,377.58,900
2026-04-01 06:00:00,380.64,900
2026-04-01 06:30:00,349.9,900
2026-04-01 07:00:00,374.17,900
2026-04-01 07:30:00,361.62,900
2026-04-01 08:00:00,423.49,900
2026-04-01 08:30:00,427.02,900
2026-04-01 09:00:00,494.27,900
2026-04-01 09:30:00,476.37,900
2026-04-01 10:00:00,565.08,900
2026-04-01 10:30:00,586.24,900
2026-04-01 11:00:00,621.24,900
2026-04-01 11:30:00,630.68,900
2026-04-01 12:00:00,627.31,900
2026-04-01 12:30:00,646.01,900
2026-04-01 13:00:00,618.13,900
2026-04-01 13:30:00,595.5,900
2026-04-01 14:00:00,566.97,900
2026-04-01 14:30:00,544.89,900
2026-04-01 15:00:00,482.07,900
2026-04-01 15:30:00,494.19,900
2026-04-01 16:00:00,424.96,900
2026-04-01 16:30:00,406.17,900
2026-04-01 17:00:00,381.5,900
2026-04-01 17:30:00,376.16,900
2026-04-01 18:00:00,343.58,900
2026-04-01 18:30:00,334.81,900
2026-04-01 19:00:00,368.2,900
2026-04-01 19:30:00,364.86,900
2026-04-01 20:00:00,422.63,900
2026-04-01 20:30:00,416.61,900
2026-04-01 21:00:00,461.81,900
2026-04-01 21:30:00,485.67,900
2026-04-01 22:00:00,556.45,900
2026-04-01 22:30:00,572.28,900
2026-04-01 23:00:00,600.15,900
2026-04-01 23:30:00,643.86,900
2026-04-02 00:00:00,595.57,900
2026-04-02 00:30:00,656.65,900
2026-04-02 01:00:00,608.86,900
2026-04-02 01:30:00,628.8,900
2026-04-02 02:00:00,562.94,900
2026-04-02 02:30:00,580.8,900
2026-04-02 03:00:00,485.69,900
2026-04-02 03:30:00,475.2,900
2026-04-02 04:00:00,439.15,900
2026-04-02 04:30:00,419.77,900
2026-04-02 05:00:00,372.27,900
2026-04-02 05:30:00,383.51,900
2026-04-02 06:00:00,340.13,900
2026-04-02 06:30:00,357.27,900
2026-04-02 07:00:00,363.27,900
2026-04-02 07:30:00,368.34,900
2026-04-02 08:00:00,422.11,900
2026-04-02 08:30:00,402.24,900
2026-04-02 09:00:00,479.92,900
2026-04-02 09:30:00,511.32,900
2026-04-02 10:00:00,576.53,900
2026-04-02 10:30:00,560.54,900
2026-04-02 11:00:00,617.46,900
2026-04-02 11:30:00,607.58,900
2026-04-02 12:00:00,657.51,900
2026-04-02 12:30:00,628.0,900
2026-04-02 13:00:00,617.25,900
2026-04-02 13:30:00,634.07,900
2026-04-02 14:00:00,548.5,900
2026-04-02 14:30:00,587.86,900
2026-04-02 15:00:00,468.84,900
2026-04-02 15:30:00,515.42,900
2026-04-02 16:00:00,416.49,900
2026-04-02 16:30:00,418.13,900
2026-04-02 17:00:00,348.84,900
2026-04-02 17:30:00,364.76,900
2026-04-02 18:00:00,340.05,900
2026-04-02 18:30:00,344.6,900
2026-04-02 19:00:00,368.29,900
2026-04-02 19:30:00,380.44,900
2026-04-02 20:00:00,423.82,900
2026-04-02 20:30:00,425.09,900
2026-04-02 21:00:00,475.25,900
2026-04-02 21:30:00,478.42,900
2026-04-02 22:00:00,591.9,900
2026-04-02 22:30:00,549.21,900
2026-04-02 23:00:00,643.45,900
2026-04-02 23:30:00,608.52,900
2026-04-03 00:00:00,631.84,900
2026-04-03 00:30:00,652.09,900
2026-04-03 01:00:00,636.38,900
2026-04-03 01:30:00,610.95,900
2026-04-03 02:00:00,555.06,900
2026-04-03 02:30:00,560.66,900
2026-04-03 03:00:00,496.38,900
2026-04-03 03:30:00,504.54,900
2026-04-03 04:00:00,421.25,900
2026-04-03 04:30:00,429.02,900
2026-04-03 05:00:00,387.99,900
2026-04-03 05:30:00,374.04,900
2026-04-03 06:00:00,354.28,900
2026-04-03 06:30:00,335.01,900
2026-04-03 07:00:00,340.62,900
2026-04-03 07:30:00,374.12,900
2026-04-03 08:00:00,420.0,900
2026-04-03 08:30:00,414.7,900
2026-04-03 09:00:00,494.99,900
2026-04-03 09:30:00,490.51,900
2026-04-03 10:00:00,580.6,900
2026-04-03 10:30:00,563.05,900
2026-04-03 11:00:00,599.25,900
2026-04-03 11:30:00,631.2,900
2026-04-03 12:00:00,627.68,900
2026-04-03 12:30:00,641.78,900
2026-04-03 13:00:00,604.21,900
2026-04-03 13:30:00,601.04,900
2026-04-03 14:00:00,563.02,900
2026-04-03 14:30:00,561.82,900
2026-04-03 15:00:00,498.47,900
2026-04-03 15:30:00,487.44,900
2026-04-03 16:00:00,398.0,900
2026-04-03 16:30:00,415.73,900
2026-04-03 17:00:00,378.62,900
2026-04-03 17:30:00,366.51,900
2026-04-03 18:00:00,348.41,900
2026-04-03 18:30:00,361.39,900
2026-04-03 19:00:00,361.91,900
2026-04-03 19:30:00,352.69,900
2026-04-03 20:00:00,419.17,900
2026-04-03 20:30:00,415.08,900
2026-04-03 21:00:00,477.16,900
2026-04-03 21:30:00,488.81,900
2026-04-03 22:00:00,569.88,900
2026-04-03 22:30:00,561.44,900
2026-04-03 23:00:00,618.64,900
2026-04-03 23:30:00,646.34,900
2026-04-04 00:00:00,625.3,900
2026-04-04 00:30:00,637.08,900
2026-04-04 01:00:00,603.63,900
2026-04-04 01:30:00,597.43,900
2026-04-04 02:00:00,551.75,900
2026-04-04 02:30:00,553.53,900
2026-04-04 03:00:00,496.7,900
2026-04-04 03:30:00,526.03,900
2026-04-04 04:00:00,412.15,900
2026-04-04 04:30:00,415.94,900
2026-04-04 05:00:00,369.11,900
2026-04-04 05:30:00,374.2,900
2026-04-04 06:00:00,353.78,900
2026-04-04 06:30:00,364.52,900
